Command,ChannelIndex,Reserved1,Frequency,Reserved2,Reserved3,Delay,Lockout,Priority
CIN,1,DodgeCountyPolic,01557450,AUTO,0,2,0,0
CIN,2,DodgeCtySheriff.,01557450,AUTO,0,2,0,0
CIN,3,UP Milwaukey Sub,01604850,AUTO,0,2,0,1
CIN,4,UP Adams Sub,01608900,AUTO,0,2,0,0
CIN,5,Kenosha Sub,01610400,AUTO,0,2,0,0
CIN,6,GSM AB1,04575625,NFM,0,2,0,0
CIN,7,Janesville,01612200,AUTO,0,2,0,0
CIN,8,Butler Yard,01612650,AUTO,0,2,0,0
CIN,9,Sainteloc,00000000,AUTO,0,2,1,0
CIN,10,Sainteloc,00000000,AUTO,0,2,1,0
CIN,11,Nova Race,04652187,NFM,0,2,0,0
CIN,12,Team WRT,00000000,AUTO,0,2,1,0
CIN,13,Team WRT,00000000,AUTO,0,2,1,0
CIN,14,Team WRT,00000000,AUTO,0,2,1,0
CIN,15,Attempto,00000000,AUTO,0,2,1,0
CIN,16,Team WRT,00000000,AUTO,0,2,1,0
CIN,17,AF Corse,00000000,AUTO,0,2,1,0
CIN,18,Dinamic,04693750,NFM,0,2,0,0
CIN,19,VSR,04673937,NFM,0,2,1,0
CIN,20,Attempto,00000000,AUTO,0,2,1,0
CIN,21,Nova Race,04651187,NFM,0,2,0,0
CIN,22,Emil Frey,00000000,AUTO,0,2,1,0
CIN,23,AF Corse,00000000,AUTO,0,2,1,0
CIN,24,Haupt,00000000,AUTO,0,2,1,0
CIN,25,AKKA ASP,00000000,AUTO,0,2,1,0
CIN,26,AF Corse,00000000,AUTO,0,2,1,0
CIN,27,Haupt,00000000,AUTO,0,2,1,0
CIN,28,AKKA ASP,00000000,AUTO,0,2,1,0
CIN,29,Madpanda,00000000,AUTO,0,2,1,0
CIN,30,Attempto,00000000,AUTO,0,2,1,0
CIN,31,JP Motorsport,00000000,AUTO,0,2,1,0
CIN,32,VSR,04674687,NFM,0,2,0,0
CIN,33,Garage 59,00000000,AUTO,0,2,1,0
CIN,34,VSR,04674687,NFM,0,2,0,0
CIN,35,Daryl Elaine,00000000,AUTO,0,2,1,0
CIN,36,,00000000,AUTO,0,2,1,0
CIN,37,,00000000,AUTO,0,2,1,0
CIN,38,,00000000,AUTO,0,2,1,0
CIN,39,,00000000,AUTO,0,2,1,0
CIN,40,,00000000,AUTO,0,2,1,0
CIN,41,,00000000,AUTO,0,2,1,0
CIN,42,,00000000,AUTO,0,2,1,0
CIN,43,,00000000,AUTO,0,2,1,0
CIN,44,,00000000,AUTO,0,2,1,0
CIN,45,,00000000,AUTO,0,2,1,0
CIN,46,,00000000,AUTO,0,2,1,0
CIN,47,,00000000,AUTO,0,2,1,0
CIN,48,,00000000,AUTO,0,2,1,0
CIN,49,,00000000,AUTO,0,2,1,0
CIN,50,,00000000,AUTO,0,2,1,0
CIN,51,,00000000,AUTO,0,2,1,0
CIN,52,,00000000,AUTO,0,2,1,0
CIN,53,,00000000,AUTO,0,2,1,0
CIN,54,,00000000,AUTO,0,2,1,0
CIN,55,,00000000,AUTO,0,2,1,0
CIN,56,,00000000,AUTO,0,2,1,0
CIN,57,,00000000,AUTO,0,2,1,0
CIN,58,,00000000,AUTO,0,2,1,0
CIN,59,,00000000,AUTO,0,2,1,0
CIN,60,,00000000,AUTO,0,2,1,0
CIN,61,,00000000,AUTO,0,2,1,0
CIN,62,,00000000,AUTO,0,2,1,0
CIN,63,,00000000,AUTO,0,2,1,0
CIN,64,,00000000,AUTO,0,2,1,0
CIN,65,,00000000,AUTO,0,2,1,0
CIN,66,,00000000,AUTO,0,2,1,0
CIN,67,,00000000,AUTO,0,2,1,0
CIN,68,,00000000,AUTO,0,2,1,0
CIN,69,,00000000,AUTO,0,2,1,0
CIN,70,,00000000,AUTO,0,2,1,0
CIN,71,,00000000,AUTO,0,2,1,0
CIN,72,,00000000,AUTO,0,2,1,0
CIN,73,,00000000,AUTO,0,2,1,0
CIN,74,,00000000,AUTO,0,2,1,0
CIN,75,,00000000,AUTO,0,2,1,0
CIN,76,,00000000,AUTO,0,2,1,0
CIN,77,,00000000,AUTO,0,2,1,0
CIN,78,,00000000,AUTO,0,2,1,0
CIN,79,,00000000,AUTO,0,2,1,0
CIN,80,,00000000,AUTO,0,2,1,0
CIN,81,,00000000,AUTO,0,2,1,0
CIN,82,,00000000,AUTO,0,2,1,0
CIN,83,,00000000,AUTO,0,2,1,0
CIN,84,,00000000,AUTO,0,2,1,0
CIN,85,,00000000,AUTO,0,2,1,0
CIN,86,,00000000,AUTO,0,2,1,0
CIN,87,,00000000,AUTO,0,2,1,0
CIN,88,,00000000,AUTO,0,2,1,0
CIN,89,,00000000,AUTO,0,2,1,0
CIN,90,,00000000,AUTO,0,2,1,0
CIN,91,,00000000,AUTO,0,2,1,0
CIN,92,,00000000,AUTO,0,2,1,0
CIN,93,,00000000,AUTO,0,2,1,0
CIN,94,,00000000,AUTO,0,2,1,0
CIN,95,,00000000,AUTO,0,2,1,0
CIN,96,,00000000,AUTO,0,2,1,0
CIN,97,,00000000,AUTO,0,2,1,0
CIN,98,,00000000,AUTO,0,2,1,0
CIN,99,,00000000,AUTO,0,2,1,0
CIN,100,,00000000,AUTO,0,2,1,0
CIN,101,RA Admin,04643250,NFM,0,2,0,0
CIN,102,CART Safety,04518125,NFM,0,2,0,0
CIN,103,RA Corner 1,04645250,NFM,0,2,0,0
CIN,104,RA Corner 2,04611750,NFM,0,2,0,0
CIN,105,RA Corner 3,04627875,NFM,0,2,0,0
CIN,106,RA EMS,04617750,NFM,0,2,0,0
CIN,107,National Ave,01611750,AUTO,0,2,0,0
CIN,108,RA Hsptlty 2,04648875,NFM,0,2,0,0
CIN,109,RA Media,04613000,NFM,0,2,0,0
CIN,110,RA Safety1/2,04632250,NFM,0,2,0,0
CIN,111,RA Safety 3,04637875,NFM,0,2,0,0
CIN,112,RA Security1,04643750,NFM,0,2,0,0
CIN,113,RA Security2,04615875,NFM,0,2,0,0
CIN,114,RA,04634250,NFM,0,2,0,0
CIN,115,,00000000,AUTO,0,2,1,0
CIN,116,,00000000,AUTO,0,2,1,0
CIN,117,,00000000,AUTO,0,2,1,0
CIN,118,,00000000,AUTO,0,2,1,0
CIN,119,,00000000,AUTO,0,2,1,0
CIN,120,,00000000,AUTO,0,2,1,0
CIN,121,,00000000,AUTO,0,2,1,0
CIN,122,,00000000,AUTO,0,2,1,0
CIN,123,,00000000,AUTO,0,2,1,0
CIN,124,,00000000,AUTO,0,2,1,0
CIN,125,,00000000,AUTO,0,2,1,0
CIN,126,,00000000,AUTO,0,2,1,0
CIN,127,,00000000,AUTO,0,2,1,0
CIN,128,,00000000,AUTO,0,2,1,0
CIN,129,,00000000,AUTO,0,2,1,0
CIN,130,,01548750,AUTO,0,2,0,0
CIN,131,,00000000,AUTO,0,2,1,0
CIN,132,,00000000,AUTO,0,2,1,0
CIN,133,,00000000,AUTO,0,2,1,0
CIN,134,,00000000,AUTO,0,2,1,0
